id,domain,field,difficulty,agent,avg_similarity,equivalent,completion,duration_seconds,input_tokens,output_tokens
a-1-1,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,56.850091,30717.0,1903.0
a-1-1,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,70.255322,139613.0,6076.0
a-1-1,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,29.620826,9480.0,1194.0
a-1-10,Bioinformatics,Sequence Data Processing,medium,biomni,0.77439128647618,true,true,55.642202,30122.0,2044.0
a-1-10,Bioinformatics,Sequence Data Processing,medium,stella,1.0,true,true,80.26067,242892.0,8737.0
a-1-10,Bioinformatics,Sequence Data Processing,medium,toolsgenie,0.9989548192771084,true,true,52.840381,25355.0,2351.0
a-1-11,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,81.061189,90358.0,3700.0
a-1-11,Bioinformatics,Sequence Data Processing,low,stella,0.0,false,true,78.654609,204242.0,7641.0
a-1-11,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,126.401472,74780.0,6322.0
a-1-12,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,47.644699,31406.0,2172.0
a-1-12,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,51.244442,45790.0,4192.0
a-1-12,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,49.257667,21745.0,2368.0
a-1-13,Bioinformatics,Sequence Data Processing,medium,biomni,1.0,true,true,70.865793,61511.0,3590.0
a-1-13,Bioinformatics,Sequence Data Processing,medium,stella,0.0,false,true,53.648165,52927.0,5075.0
a-1-13,Bioinformatics,Sequence Data Processing,medium,toolsgenie,1.0,true,true,96.277088,78099.0,5659.0
a-1-14,Bioinformatics,Sequence Data Processing,medium,biomni,0.0,false,true,78.865089,46028.0,3812.0
a-1-14,Bioinformatics,Sequence Data Processing,medium,stella,0.0,false,true,88.462769,217529.0,11402.0
a-1-14,Bioinformatics,Sequence Data Processing,medium,toolsgenie,0.0,false,true,87.192038,46593.0,4034.0
a-1-15,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,55.448583,30978.0,2228.0
a-1-15,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,72.658957,364581.0,9936.0
a-1-15,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,54.849522,28155.0,3266.0
a-1-2,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,64.061896,29446.0,2292.0
a-1-2,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,59.249845,245398.0,6479.0
a-1-2,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,33.426738,10151.0,1271.0
a-1-3,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,61.451334,23925.0,1792.0
a-1-3,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,82.6708,415046.0,10287.0
a-1-3,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,76.680184,45137.0,4205.0
a-1-4,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,64.46198,34076.0,2126.0
a-1-4,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,55.846976,114097.0,6263.0
a-1-4,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,54.466952,27353.0,2877.0
a-1-5,Bioinformatics,Sequence Data Processing,low,biomni,0.0,false,true,57.846436,86226.0,1942.0
a-1-5,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,74.250421,253192.0,7128.0
a-1-5,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,62.366127,24794.0,2494.0
a-1-6,Bioinformatics,Sequence Data Processing,low,biomni,0.75,true,true,54.447755,30896.0,1975.0
a-1-6,Bioinformatics,Sequence Data Processing,low,stella,0.75,true,true,87.860125,251745.0,9956.0
a-1-6,Bioinformatics,Sequence Data Processing,low,toolsgenie,0.7502141177178272,true,true,71.670158,40924.0,3436.0
a-1-7,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,61.252838,26448.0,1663.0
a-1-7,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,58.853318,174987.0,7507.0
a-1-7,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,99.083628,54867.0,5283.0
a-1-8,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,66.052939,27228.0,2169.0
a-1-8,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,63.655097,241016.0,7881.0
a-1-8,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,50.866481,23836.0,2728.0
a-1-9,Bioinformatics,Sequence Data Processing,low,biomni,1.0,true,true,50.071237,28288.0,1981.0
a-1-9,Bioinformatics,Sequence Data Processing,low,stella,1.0,true,true,71.660335,203988.0,7491.0
a-1-9,Bioinformatics,Sequence Data Processing,low,toolsgenie,1.0,true,true,67.440758,32732.0,3194.0
a-10-1,Bioinformatics,Clinical Bioinformatics,low,biomni,1.0,true,true,55.83416,43212.0,2343.0
a-10-1,Bioinformatics,Clinical Bioinformatics,low,stella,0.6666666666666666,true,true,118.706078,269869.0,14767.0
a-10-1,Bioinformatics,Clinical Bioinformatics,low,toolsgenie,1.0,true,true,100.496095,42431.0,6082.0
a-10-2,Bioinformatics,Clinical Bioinformatics,medium,biomni,0.36,false,true,132.29494,111498.0,6377.0
a-10-2,Bioinformatics,Clinical Bioinformatics,medium,stella,0.0,false,false,113.284012,895048.0,27444.0
a-10-2,Bioinformatics,Clinical Bioinformatics,medium,toolsgenie,0.98,true,true,240.215408,136072.0,14162.0
a-10-3,Bioinformatics,Clinical Bioinformatics,high,biomni,0.6666666666666666,true,true,88.252572,48836.0,4396.0
a-10-3,Bioinformatics,Clinical Bioinformatics,high,stella,0.0,false,false,48.636472,148994.0,4831.0
a-10-3,Bioinformatics,Clinical Bioinformatics,high,toolsgenie,1.0,true,true,56.863911,24437.0,3470.0
a-10-4,Bioinformatics,Clinical Bioinformatics,medium,biomni,0.9666209112146311,true,true,84.865892,45673.0,3874.0
a-10-4,Bioinformatics,Clinical Bioinformatics,medium,stella,0.9766666666666666,true,true,51.846241,69809.0,5076.0
a-10-4,Bioinformatics,Clinical Bioinformatics,medium,toolsgenie,0.9700000000000001,true,true,75.271327,38285.0,4096.0
a-10-5,Bioinformatics,Clinical Bioinformatics,medium,biomni,1.0,true,true,133.499792,195565.0,4873.0
a-10-5,Bioinformatics,Clinical Bioinformatics,medium,stella,1.0,true,true,319.648268,3695280.0,56735.0
